f,alpha,c,U_infinity,delta
4000,1.5,0.3048,39.6,0.00392107
2000,5.3,0.2286,39.6,0.00614329
10000,0.0,0.3048,55.5,0.00283081
630,5.4,0.1524,39.6,0.00485029
400,15.6,0.1016,71.3,0.0437259
2500,15.4,0.0508,39.6,0.0282593
2500,15.4,0.0508,31.7,0.0289853
500,0.0,0.2286,31.7,0.0027238
1600,11.2,0.0508,71.3,0.014072
1600,4.0,0.2286,31.7,0.00509068
2000,0.0,0.1524,55.5,0.00172668
630,12.3,0.1016,71.3,0.0337792
8000,22.2,0.0254,71.3,0.0214178
1000,9.9,0.1524,71.3,0.0193001
1600,12.3,0.1016,39.6,0.0408268
8000,3.3,0.1016,55.5,0.002211
1000,1.5,0.3048,39.6,0.00392107
630,12.3,0.1016,31.7,0.0418756
4000,4.0,0.2286,31.7,0.00509068
800,12.3,0.1016,71.3,0.0337792
2500,12.6,0.1524,71.3,0.0483159
1000,0.0,0.0254,31.7,0.000439472
400,2.0,0.2286,39.6,0.00346574
800,17.4,0.0254,39.6,0.0172206
250,9.5,0.0254,31.7,0.00461377
800,15.4,0.0508,71.3,0.0264269
6300,0.0,0.3048,71.3,0.00266337
1600,5.4,0.1524,55.5,0.00433288
630,2.0,0.2286,71.3,0.00293031
800,3.3,0.1016,31.7,0.00251435
6300,1.5,0.3048,71.3,0.00336729
10000,0.0,0.3048,39.6,0.00310138
2000,8.4,0.0508,31.7,0.00580776
1600,9.5,0.0254,39.6,0.00449821
8000,12.7,0.0254,39.6,0.0130253
1600,15.4,0.0508,39.6,0.0282593
400,0.0,0.3048,39.6,0.00310138
250,11.2,0.0508,71.3,0.014072
1600,0.0,0.0508,31.7,0.000812164
500,11.2,0.0508,39.6,0.0150478
20000,4.8,0.0254,71.3,0.000848633
3150,9.9,0.1524,39.6,0.0233328
800,12.3,0.1016,31.7,0.0418756
500,12.7,0.0254,39.6,0.0130253
3150,7.3,0.2286,31.7,0.0132672
1250,15.4,0.0508,39.6,0.0282593
1600,0.0,0.1016,39.6,0.00146332
5000,9.5,0.0254,31.7,0.00461377
3150,0.0,0.1524,39.6,0.00193287
8000,0.0,0.0508,39.6,0.000791822
10000,12.7,0.0254,39.6,0.0130253
5000,12.7,0.0254,71.3,0.0121808
250,15.6,0.1016,39.6,0.0528487
2000,7.2,0.1524,71.3,0.00752039
1250,12.3,0.1016,55.5,0.0368233
5000,9.9,0.1524,55.5,0.0208438
6300,0.0,0.0254,31.7,0.000439472
400,3.0,0.3048,31.7,0.00529514
400,12.3,0.1016,55.5,0.0368233
500,0.0,0.1524,39.6,0.00193287
1250,17.4,0.0254,71.3,0.016104
4000,0.0,0.0254,39.6,0.000428464
2000,6.7,0.1016,71.3,0.00478288
250,8.9,0.1016,71.3,0.0103088
5000,22.2,0.0254,71.3,0.0214178
1000,9.9,0.1524,55.5,0.0208438
1000,0.0,0.1524,55.5,0.00172668
3150,4.8,0.0254,55.5,0.000873218
630,15.4,0.0508,39.6,0.0282593
630,0.0,0.3048,55.5,0.00283081
630,0.0,0.1016,71.3,0.00121072
800,0.0,0.1524,31.7,0.00209405
630,4.0,0.2286,39.6,0.00473801
800,9.5,0.0254,39.6,0.00449821
1250,3.3,0.1016,55.5,0.002211
400,6.7,0.1016,31.7,0.00592927
5000,5.4,0.1524,31.7,0.00525474
200,12.3,0.1016,31.7,0.0418756
3150,0.0,0.2286,55.5,0.00229336
6300,15.4,0.0508,31.7,0.0289853
3150,17.4,0.0254,71.3,0.016104
1250,8.4,0.0508,55.5,0.00544854
12500,1.5,0.3048,71.3,0.00336729
630,12.7,0.0254,39.6,0.0130253
1250,9.5,0.0254,55.5,0.0043284
1250,0.0,0.3048,31.7,0.00331266
315,15.4,0.0508,71.3,0.0264269
6300,0.0,0.1016,55.5,0.00131983
2500,12.6,0.1524,39.6,0.0584113
8000,7.2,0.1524,39.6,0.00909175
16000,0.0,0.1524,55.5,0.00172668
2000,12.3,0.1016,39.6,0.0408268
1000,8.9,0.1016,71.3,0.0103088
4000,0.0,0.1524,55.5,0.00172668
200,12.6,0.1524,39.6,0.0584113
200,9.5,0.0254,31.7,0.00461377
6300,9.5,0.0254,55.5,0.0043284
250,17.4,0.0254,55.5,0.0165706
500,19.7,0.0508,71.3,0.0341183
250,15.4,0.0508,39.6,0.0282593
16000,4.8,0.0254,71.3,0.000848633
500,8.4,0.0508,55.5,0.00544854
630,8.9,0.1016,39.6,0.0124596
2000,3.3,0.1016,71.3,0.00202822
2000,2.0,0.2286,39.6,0.00346574
2000,4.2,0.0508,71.3,0.00142788
3150,0.0,0.1524,71.3,0.0015988
4000,8.9,0.1016,71.3,0.0103088
2500,12.3,0.1016,55.5,0.0368233
5000,2.0,0.2286,39.6,0.00346574
10000,2.0,0.2286,71.3,0.00293031
1000,3.3,0.1016,55.5,0.002211
1000,15.6,0.1016,71.3,0.0437259
400,5.4,0.1524,31.7,0.00525474
12500,4.0,0.3048,71.3,0.00497773
250,17.4,0.0254,71.3,0.016104
2500,0.0,0.1524,55.5,0.00172668
2500,15.6,0.1016,39.6,0.0528487
5000,3.3,0.1016,55.5,0.002211
1600,2.0,0.2286,31.7,0.00372371
315,1.5,0.3048,39.6,0.00392107
2000,9.5,0.0254,31.7,0.00461377
1000,15.4,0.0508,39.6,0.0282593
6300,4.0,0.3048,71.3,0.00497773
630,12.3,0.1016,55.5,0.0368233
630,12.6,0.1524,39.6,0.0584113
3150,0.0,0.1016,71.3,0.00121072
5000,4.0,0.2286,39.6,0.00473801
6300,0.0,0.1524,71.3,0.0015988
8000,0.0,0.0508,55.5,0.00076193
2000,15.6,0.1016,71.3,0.0437259
400,0.0,0.2286,39.6,0.00253511
200,19.7,0.0508,71.3,0.0341183
3150,2.0,0.2286,71.3,0.00293031
8000,0.0,0.0508,71.3,0.000740478
800,17.4,0.0254,71.3,0.016104
630,9.9,0.1524,39.6,0.0233328
8000,3.3,0.1016,31.7,0.00251435
1000,6.7,0.1016,31.7,0.00592927
5000,17.4,0.0254,71.3,0.016104
400,12.3,0.1016,31.7,0.0418756
1600,8.4,0.0508,31.7,0.00580776
2500,0.0,0.1016,39.6,0.00146332
3150,0.0,0.0254,31.7,0.000439472
3150,12.7,0.0254,71.3,0.0121808
315,17.4,0.0254,39.6,0.0172206
1000,12.7,0.0254,39.6,0.0130253
800,2.0,0.2286,71.3,0.00293031
3150,7.2,0.1524,71.3,0.00752039
2500,17.4,0.0254,55.5,0.0165706
5000,17.4,0.0254,39.6,0.0172206
6300,9.5,0.0254,31.7,0.00461377
2000,12.6,0.1524,71.3,0.0483159
1600,15.4,0.0508,71.3,0.0264269
2000,3.0,0.3048,39.6,0.00495741
800,3.0,0.3048,39.6,0.00495741
3150,7.2,0.1524,39.6,0.00909175
5000,12.6,0.1524,39.6,0.0584113
2500,9.5,0.0254,31.7,0.00461377
3150,5.3,0.2286,71.3,0.0051942
2000,22.2,0.0254,71.3,0.0214178
12500,0.0,0.1016,55.5,0.00131983
1600,3.0,0.3048,31.7,0.00529514
5000,9.9,0.1524,39.6,0.0233328
400,17.4,0.0254,31.7,0.0176631
2000,7.3,0.2286,31.7,0.0132672
2500,0.0,0.3048,31.7,0.00331266
12500,0.0,0.0508,55.5,0.00076193
3150,17.4,0.0254,55.5,0.0165706
1600,0.0,0.0508,39.6,0.000791822
1000,12.6,0.1524,39.6,0.0584113
2500,9.5,0.0254,39.6,0.00449821
1000,5.3,0.2286,39.6,0.00614329
1250,0.0,0.2286,39.6,0.00253511
10000,0.0,0.0254,55.5,0.00041229
3150,0.0,0.1524,55.5,0.00172668
6300,0.0,0.0254,71.3,0.000400682
800,4.0,0.3048,71.3,0.00497773
2000,0.0,0.3048,39.6,0.00310138
1000,7.3,0.2286,31.7,0.0132672
3150,15.4,0.0508,55.5,0.0271925
2000,15.4,0.0508,39.6,0.0282593
500,8.4,0.0508,31.7,0.00580776
1250,7.3,0.2286,39.6,0.0123481
16000,0.0,0.0254,71.3,0.000400682
8000,3.0,0.3048,55.5,0.00452492
4000,19.7,0.0508,71.3,0.0341183
315,12.7,0.0254,71.3,0.0121808
8000,15.4,0.0508,71.3,0.0264269
6300,8.9,0.1016,39.6,0.0124596
500,17.4,0.0254,55.5,0.0165706
5000,12.7,0.0254,39.6,0.0130253
400,17.4,0.0254,55.5,0.0165706
6300,3.3,0.1016,31.7,0.00251435
10000,4.8,0.0254,71.3,0.000848633
8000,2.7,0.1524,71.3,0.00243851
2000,0.0,0.0508,71.3,0.000740478
5000,5.4,0.1524,39.6,0.00485029
315,12.7,0.0254,39.6,0.0130253
3150,0.0,0.0254,71.3,0.000400682
1000,1.5,0.3048,71.3,0.00336729
2000,2.0,0.2286,31.7,0.00372371
200,17.4,0.0254,55.5,0.0165706
500,2.0,0.2286,31.7,0.00372371
4000,5.3,0.2286,39.6,0.00614329
6300,7.3,0.2286,55.5,0.0111706
10000,0.0,0.0508,39.6,0.000791822
2000,3.0,0.3048,71.3,0.00425727
4000,9.9,0.1524,71.3,0.0193001
12500,0.0,0.0508,39.6,0.000791822
200,0.0,0.3048,31.7,0.00331266
1600,8.9,0.1016,39.6,0.0124596
5000,0.0,0.2286,71.3,0.00214345
1600,6.7,0.1016,31.7,0.00592927
400,7.3,0.2286,39.6,0.0123481
1000,9.5,0.0254,71.3,0.00420654
2500,4.2,0.0508,39.6,0.00152689
2000,9.9,0.1524,39.6,0.0233328
500,4.0,0.2286,55.5,0.0042862
2000,1.5,0.3048,39.6,0.00392107
8000,0.0,0.1016,55.5,0.00131983
2000,4.0,0.2286,71.3,0.00400603
800,12.6,0.1524,71.3,0.0483159
1000,12.3,0.1016,55.5,0.0368233
800,7.2,0.1524,39.6,0.00909175
630,9.5,0.0254,39.6,0.00449821
1600,0.0,0.3048,39.6,0.00310138
2500,7.3,0.2286,39.6,0.0123481
630,5.4,0.1524,71.3,0.00401199
1000,2.7,0.1524,39.6,0.00294804
800,12.3,0.1016,55.5,0.0368233
2500,0.0,0.2286,39.6,0.00253511
630,9.9,0.1524,31.7,0.0252785
2000,11.2,0.0508,71.3,0.014072
12500,2.7,0.1524,71.3,0.00243851
1600,8.4,0.0508,39.6,0.00566229
4000,19.7,0.0508,39.6,0.036484
3150,3.3,0.1016,39.6,0.00245138
315,2.0,0.2286,39.6,0.00346574
6300,2.0,0.2286,39.6,0.00346574
1250,9.9,0.1524,55.5,0.0208438
3150,12.6,0.1524,39.6,0.0584113
400,3.0,0.3048,71.3,0.00425727
3150,8.4,0.0508,55.5,0.00544854
3150,3.0,0.3048,71.3,0.00425727
4000,3.3,0.1016,55.5,0.002211
2500,22.2,0.0254,39.6,0.0229028
315,8.9,0.1016,39.6,0.0124596
6300,0.0,0.0254,55.5,0.00041229
3150,9.9,0.1524,71.3,0.0193001
3150,15.6,0.1016,71.3,0.0437259
1600,2.0,0.2286,39.6,0.00346574
2000,9.9,0.1524,31.7,0.0252785
1000,0.0,0.0508,39.6,0.000791822
2500,7.3,0.2286,71.3,0.0104404
3150,9.5,0.0254,55.5,0.0043284
6300,0.0,0.3048,39.6,0.00310138
800,19.7,0.0508,71.3,0.0341183
1000,15.4,0.0508,55.5,0.0271925
2000,0.0,0.0508,31.7,0.000812164
1250,0.0,0.3048,55.5,0.00283081
5000,15.4,0.0508,31.7,0.0289853
200,17.4,0.0254,71.3,0.016104
1600,0.0,0.0254,31.7,0.000439472
1250,2.7,0.1524,71.3,0.00243851
1250,19.7,0.0508,39.6,0.036484
315,9.9,0.1524,71.3,0.0193001
1250,0.0,0.1016,31.7,0.00150092
5000,0.0,0.0508,71.3,0.000740478
2500,12.7,0.0254,71.3,0.0121808
1000,0.0,0.0508,55.5,0.00076193
5000,15.4,0.0508,39.6,0.0282593
10000,4.8,0.0254,39.6,0.000907475
630,8.4,0.0508,39.6,0.00566229
630,4.0,0.3048,71.3,0.00497773
2000,4.8,0.0254,55.5,0.000873218
800,4.8,0.0254,39.6,0.000907475
1600,0.0,0.1016,55.5,0.00131983
500,4.0,0.2286,39.6,0.00473801
4000,0.0,0.1016,71.3,0.00121072
1000,22.2,0.0254,71.3,0.0214178
1600,0.0,0.1524,55.5,0.00172668
2000,8.4,0.0508,71.3,0.00529514
500,12.3,0.1016,55.5,0.0368233
2000,19.7,0.0508,71.3,0.0341183
800,8.9,0.1016,39.6,0.0124596
2500,0.0,0.0508,55.5,0.00076193
5000,0.0,0.2286,31.7,0.0027238
500,4.8,0.0254,31.7,0.000930789
500,5.4,0.1524,71.3,0.00401199
6300,12.3,0.1016,39.6,0.0408268
1250,22.2,0.0254,39.6,0.0229028
315,7.2,0.1524,71.3,0.00752039
1250,0.0,0.0508,55.5,0.00076193
8000,2.0,0.2286,71.3,0.00293031
800,3.0,0.3048,31.7,0.00529514
16000,0.0,0.2286,71.3,0.00214345
315,15.6,0.1016,39.6,0.0528487
1250,11.2,0.0508,39.6,0.0150478
10000,1.5,0.3048,71.3,0.00336729
2000,4.0,0.2286,55.5,0.0042862
3150,1.5,0.3048,71.3,0.00336729
630,15.6,0.1016,39.6,0.0528487
5000,7.3,0.2286,55.5,0.0111706
630,0.0,0.1524,31.7,0.00209405
1000,8.4,0.0508,39.6,0.00566229
8000,1.5,0.3048,71.3,0.00336729
1000,0.0,0.0508,71.3,0.000740478
10000,12.7,0.0254,71.3,0.0121808
800,0.0,0.3048,31.7,0.00331266
10000,2.7,0.1524,39.6,0.00294804
400,7.2,0.1524,71.3,0.00752039
500,5.3,0.2286,71.3,0.0051942
1000,2.0,0.2286,55.5,0.00313525
1000,4.8,0.0254,39.6,0.000907475
250,9.5,0.0254,39.6,0.00449821
800,4.0,0.2286,39.6,0.00473801
1000,3.0,0.3048,31.7,0.00529514
2500,0.0,0.2286,71.3,0.00214345
2500,4.8,0.0254,39.6,0.000907475
200,22.2,0.0254,39.6,0.0229028
2500,0.0,0.1524,71.3,0.0015988
3150,5.3,0.2286,39.6,0.00614329
2500,9.9,0.1524,31.7,0.0252785
400,12.6,0.1524,39.6,0.0584113
630,7.2,0.1524,39.6,0.00909175
10000,0.0,0.1524,71.3,0.0015988
400,7.3,0.2286,55.5,0.0111706
8000,0.0,0.1524,55.5,0.00172668
4000,0.0,0.2286,71.3,0.00214345
2000,2.7,0.1524,39.6,0.00294804
1250,12.3,0.1016,39.6,0.0408268
6300,7.3,0.2286,39.6,0.0123481
1250,0.0,0.1524,31.7,0.00209405
400,8.4,0.0508,39.6,0.00566229
1000,0.0,0.2286,31.7,0.0027238
6300,17.4,0.0254,71.3,0.016104
250,9.9,0.1524,55.5,0.0208438
6300,5.4,0.1524,71.3,0.00401199
500,11.2,0.0508,71.3,0.014072
1250,0.0,0.3048,71.3,0.00266337
250,12.3,0.1016,55.5,0.0368233
800,7.2,0.1524,71.3,0.00752039
250,7.3,0.2286,31.7,0.0132672
5000,3.0,0.3048,55.5,0.00452492
2500,0.0,0.3048,71.3,0.00266337
2000,4.8,0.0254,39.6,0.000907475
2500,4.2,0.0508,71.3,0.00142788
400,5.4,0.1524,71.3,0.00401199
2500,17.4,0.0254,31.7,0.0176631
5000,0.0,0.0254,71.3,0.000400682
630,3.0,0.3048,31.7,0.00529514
1000,4.0,0.2286,39.6,0.00473801
12500,0.0,0.3048,39.6,0.00310138
630,15.4,0.0508,31.7,0.0289853
1600,9.9,0.1524,31.7,0.0252785
630,0.0,0.1016,31.7,0.00150092
3150,15.4,0.0508,39.6,0.0282593
400,4.0,0.3048,71.3,0.00497773
800,2.7,0.1524,71.3,0.00243851
2000,8.9,0.1016,39.6,0.0124596
3150,15.4,0.0508,71.3,0.0264269
200,17.4,0.0254,31.7,0.0176631
800,15.6,0.1016,39.6,0.0528487
200,11.2,0.0508,39.6,0.0150478
630,0.0,0.1016,39.6,0.00146332
500,3.0,0.3048,31.7,0.00529514
630,4.8,0.0254,39.6,0.000907475
800,3.0,0.3048,71.3,0.00425727
4000,2.0,0.2286,39.6,0.00346574
1250,2.0,0.2286,39.6,0.00346574
5000,8.4,0.0508,55.5,0.00544854
2000,7.3,0.2286,55.5,0.0111706
200,19.7,0.0508,39.6,0.036484
10000,0.0,0.3048,71.3,0.00266337
4000,3.0,0.3048,39.6,0.00495741
3150,22.2,0.0254,39.6,0.0229028
1000,9.9,0.1524,39.6,0.0233328
4000,12.6,0.1524,39.6,0.0584113
800,0.0,0.2286,55.5,0.00229336
500,2.0,0.2286,71.3,0.00293031
4000,12.3,0.1016,55.5,0.0368233
1250,7.3,0.2286,55.5,0.0111706
4000,15.4,0.0508,71.3,0.0264269
8000,4.0,0.2286,39.6,0.00473801
1250,0.0,0.1016,55.5,0.00131983
1600,3.3,0.1016,55.5,0.002211
500,0.0,0.1524,31.7,0.00209405
6300,0.0,0.2286,39.6,0.00253511
400,19.7,0.0508,71.3,0.0341183
2500,3.3,0.1016,31.7,0.00251435
6300,2.0,0.2286,31.7,0.00372371
6300,0.0,0.1524,39.6,0.00193287
4000,0.0,0.1524,39.6,0.00193287
1000,12.6,0.1524,71.3,0.0483159
6300,3.3,0.1016,55.5,0.002211
800,0.0,0.2286,39.6,0.00253511
500,4.0,0.2286,31.7,0.00509068
5000,5.4,0.1524,71.3,0.00401199
3150,12.3,0.1016,31.7,0.0418756
2500,0.0,0.0508,31.7,0.000812164
800,6.7,0.1016,31.7,0.00592927
800,4.0,0.2286,31.7,0.00509068
3150,0.0,0.1016,39.6,0.00146332
2500,1.5,0.3048,71.3,0.00336729
630,7.2,0.1524,71.3,0.00752039
315,12.3,0.1016,31.7,0.0418756
